지역명,연도,월,평당분양가격,전용면적
대전,2015.0,11.0,8530.5,60㎡
대전,2015.0,11.0,8012.4,60㎡~85㎡
대전,2015.0,11.0,8121.299999999999,85㎡~102㎡
울산,2015.0,11.0,10041.9,모든면적
울산,2015.0,11.0,8527.199999999999,60㎡
울산,2015.0,11.0,10058.4,60㎡~85㎡
울산,2015.0,11.0,8787.9,85㎡~102㎡
울산,2015.0,11.0,9484.199999999999,102㎡~
세종,2015.0,11.0,8738.4,모든면적
세종,2015.0,11.0,8487.6,60㎡
세종,2015.0,11.0,8797.8,60㎡~85㎡
세종,2015.0,11.0,8725.199999999999,85㎡~102㎡
세종,2015.0,11.0,9071.699999999999,102㎡~
강원,2015.0,11.0,7164.299999999999,모든면적
강원,2015.0,11.0,7563.599999999999,60㎡
강원,2015.0,11.0,7236.9,60㎡~85㎡
강원,2015.0,11.0,6801.299999999999,85㎡~102㎡
강원,2015.0,11.0,7164.299999999999,102㎡~
충북,2015.0,11.0,6613.2,모든면적
충북,2015.0,11.0,6339.299999999999,60㎡
충북,2015.0,11.0,6649.5,60㎡~85㎡
충북,2015.0,11.0,6164.4,85㎡~102㎡
충북,2015.0,11.0,7514.099999999999,102㎡~
충남,2015.0,11.0,6930.0,모든면적
충남,2015.0,11.0,7306.2,60㎡
충남,2015.0,11.0,6946.5,60㎡~85㎡
충남,2015.0,11.0,8325.9,85㎡~102㎡
충남,2015.0,11.0,8144.4,102㎡~
전북,2015.0,11.0,6788.099999999999,모든면적
전북,2015.0,11.0,7025.7,60㎡
전북,2015.0,11.0,6788.099999999999,60㎡~85㎡
전북,2015.0,11.0,7844.099999999999,85㎡~102㎡
전북,2015.0,11.0,7530.599999999999,102㎡~
전남,2015.0,11.0,6299.7,모든면적
전남,2015.0,11.0,6596.7,60㎡
전남,2015.0,11.0,6289.799999999999,60㎡~85㎡
전남,2015.0,11.0,7464.599999999999,85㎡~102㎡
전남,2015.0,11.0,7180.799999999999,102㎡~
경북,2015.0,11.0,7227.0,모든면적
경북,2015.0,11.0,7293.0,60㎡
경북,2015.0,11.0,7213.799999999999,60㎡~85㎡
경북,2015.0,11.0,8302.8,85㎡~102㎡
경북,2015.0,11.0,7821.0,102㎡~
경남,2015.0,11.0,7583.4,모든면적
경남,2015.0,11.0,7260.0,60㎡
경남,2015.0,11.0,7662.599999999999,60㎡~85㎡
경남,2015.0,11.0,9834.0,85㎡~102㎡
경남,2015.0,11.0,10041.9,102㎡~
제주,2015.0,11.0,7365.599999999999,모든면적
제주,2015.0,11.0,7342.5,60㎡~85㎡
제주,2015.0,11.0,8523.9,85㎡~102㎡
제주,2015.0,11.0,8494.199999999999,102㎡~
서울,2015.0,12.0,19935.3,모든면적
서울,2015.0,12.0,20859.3,60㎡
서울,2015.0,12.0,19687.8,60㎡~85㎡
서울,2015.0,12.0,21492.899999999998,85㎡~102㎡
서울,2015.0,12.0,21618.3,102㎡~
인천,2015.0,12.0,10507.199999999999,모든면적
인천,2015.0,12.0,10982.4,60㎡
인천,2015.0,12.0,10292.699999999999,60㎡~85㎡
인천,2015.0,12.0,11698.5,85㎡~102㎡
인천,2015.0,12.0,11246.4,102㎡~
경기,2015.0,12.0,10553.4,모든면적
경기,2015.0,12.0,10866.9,60㎡
경기,2015.0,12.0,10936.199999999999,60㎡~85㎡
경기,2015.0,12.0,11381.699999999999,85㎡~102㎡
경기,2015.0,12.0,12705.0,102㎡~
부산,2015.0,12.0,10319.099999999999,모든면적
부산,2015.0,12.0,9738.3,60㎡
부산,2015.0,12.0,10005.6,60㎡~85㎡
부산,2015.0,12.0,9758.1,85㎡~102㎡
부산,2015.0,12.0,12338.699999999999,102㎡~
대구,2015.0,12.0,9774.6,모든면적
대구,2015.0,12.0,10830.599999999999,60㎡
대구,2015.0,12.0,9804.3,60㎡~85㎡
대구,2015.0,12.0,8355.6,85㎡~102㎡
대구,2015.0,12.0,9051.9,102㎡~
광주,2015.0,12.0,8170.799999999999,모든면적
광주,2015.0,12.0,7903.5,60㎡
광주,2015.0,12.0,8213.699999999999,60㎡~85㎡
대전,2015.0,12.0,8098.2,모든면적
대전,2015.0,12.0,8530.5,60㎡
대전,2015.0,12.0,8012.4,60㎡~85㎡
대전,2015.0,12.0,8121.299999999999,85㎡~102㎡
울산,2015.0,12.0,10041.9,모든면적
울산,2015.0,12.0,8527.199999999999,60㎡
울산,2015.0,12.0,10058.4,60㎡~85㎡
울산,2015.0,12.0,8787.9,85㎡~102㎡
울산,2015.0,12.0,9484.199999999999,102㎡~
세종,2015.0,12.0,8794.5,모든면적
세종,2015.0,12.0,8583.3,60㎡
